Nstations,ETime,sdTime,lbTime,ubTime,ETimeM4,ETimeM12,ETimeM36
103,68.01400672,39.52050326,21.3716671,126.6495686,49.13011927,39.33339825,47.23860697
104,68.80213162,39.50472729,21.73619234,126.9998558,49.35590463,39.47113586,47.47623798
105,68.53723596,39.59281574,21.56464069,127.023205,49.36336816,39.10914349,47.12945715
106,68.82313379,39.67619835,21.77653921,126.709462,49.32965307,39.24472572,47.04584547
107,68.88914539,39.98813634,21.21908899,128.2724387,49.37089386,39.03981209,46.75356302
108,69.13284371,40.11798731,21.60570586,129.2953721,49.42702843,39.00857305,46.73770388
109,69.167532,40.38901591,21.07979126,128.8892586,49.3045425,38.88198562,46.6237562
110,69.50340891,40.75182714,21.34545146,129.7088131,49.26714892,38.90383291,46.52461242
111,69.32615805,40.91735409,21.39906958,130.090688,49.08013729,38.83976555,46.27808422
112,69.48232238,41.01507103,21.12538476,129.9432776,49.13832953,38.60128227,46.32998246
113,70.32113035,41.2717386,21.31638524,131.5165704,49.36337546,38.77133239,46.49404597
114,70.38753444,41.41760707,21.17707636,131.8120658,49.63509241,38.73363469,46.3819567
115,70.29992886,41.65044902,20.82390138,131.6639102,49.23000106,38.41602898,46.16266131
116,70.4885674,41.81646107,21.05957872,132.3557768,49.69476197,38.48521066,46.0686397
117,71.00566065,42.1123316,20.70277273,133.2822955,49.61726059,38.42919107,46.15997098
118,71.20242194,42.52170721,20.84134884,133.9378632,49.59140488,38.40314072,45.97888985
119,71.73725991,42.63477518,21.20747668,135.1861505,49.74144884,38.43345464,46.23527675
120,71.15779845,42.80288645,20.69754098,134.5249312,49.62456976,38.22572803,45.60054209
121,71.57569803,42.5934828,21.23036931,134.6349056,49.88325963,38.27790611,45.84057723
122,71.80363355,42.98024336,20.6404079,135.449246,49.69330081,38.11476706,45.71411869
123,72.35058092,43.43693079,21.17534948,136.2825038,49.96617525,38.19360369,45.72838553
124,72.10561389,43.3435502,20.49284976,136.022945,49.58170345,38.08692135,45.60772766
125,72.04233096,43.61703826,20.48567278,136.6721709,49.49525779,37.91220568,45.52095902
126,72.80127807,43.83319945,20.99822487,138.2536191,50.05724916,38.13423076,45.55698094
127,73.23157338,44.02982048,20.74061532,137.9388571,50.17157374,38.03254134,45.7073099
128,73.15506136,44.52547681,20.43314862,138.4599479,50.00932985,37.94099635,45.37906924
129,73.27489655,44.48483024,20.9704688,139.7675282,50.04235856,37.95308317,45.32451926
130,73.72609439,44.72691716,20.46438473,139.8726917,50.02055162,37.88962342,45.3011231
131,74.45484215,44.92296648,21.01216603,141.3454522,50.34941875,38.12236713,45.45871656
132,74.62095039,45.06594933,20.62419399,141.680267,50.61592461,37.97241988,45.61367394
133,73.89427356,45.0053887,20.43247171,141.0572162,50.24833016,37.86393088,44.92412178
134,74.77485749,45.49997456,20.78848995,142.6763408,50.46486092,37.81929153,45.10479895
135,74.34823307,45.76458013,20.45540636,141.7131031,50.29139909,37.71014074,44.82071478
136,74.57094015,45.69278615,20.11267008,142.7629453,50.2772922,37.68927171,44.97991691
137,74.81328802,46.09986077,20.06497933,143.2594822,50.23446566,37.45194178,44.77034271
138,75.25091313,46.38225662,20.07413751,144.7495024,50.27929706,37.56407518,44.84072447
139,75.23420809,46.17614562,20.25613971,143.5288191,50.56175112,37.60201008,44.61284912
140,75.95176777,47.13187096,19.91617659,145.6905551,50.56383145,37.56103103,44.91003989
141,75.59839236,46.71401248,20.20998993,145.2682289,50.56877385,37.44571729,44.49701185
142,75.76253769,46.64810973,20.36248392,145.3410984,50.59744712,37.35402893,44.31249795
143,76.30252286,47.083841,20.51974023,146.021198,50.64893275,37.48080033,44.46552956
144,75.95561922,47.28591477,19.79638111,146.0175656,50.41286527,37.26045624,44.22308061
145,76.75489689,47.78451024,19.9233298,146.7288419,50.9199719,37.38600535,44.4032022
146,76.70593492,47.50297563,20.3021227,146.5844069,50.87842965,37.27959443,44.30858506
147,77.56276423,48.23374493,19.94619079,148.8645096,51.01667278,37.42702584,44.52722428
148,77.34843214,48.49988848,19.77385275,149.2324634,50.88469119,37.31599899,44.36346868
149,77.16844535,48.28294691,19.93649766,149.2406858,51.0046905,37.09721222,44.14408705
150,77.84153498,48.79622141,20.27341669,150.9348888,51.24212839,37.2554808,44.21631816
151,78.57744481,48.61207681,20.13241464,149.7579145,51.18776087,37.43373716,44.35956587
152,78.09287065,49.04196093,20.25208925,151.4880917,51.35985649,37.25533628,44.19304442
153,79.01894701,49.34778701,20.20463705,151.7660606,51.67514332,37.52739538,44.32407241
154,79.56267205,49.3724082,20.34970376,152.2640419,51.71548317,37.5350702,44.33354603
155,78.85365548,49.64634716,19.45593458,153.2506833,51.39109436,37.15536977,43.96417623
156,78.99889611,49.55357486,20.14300296,153.4236642,51.55506512,37.11005342,43.91424915
157,78.25408674,49.48571569,19.52304914,151.4180906,51.10744976,36.92632904,43.45202152
158,79.67297083,49.7968253,20.71137255,153.8579572,51.89170178,37.3333725,43.96772338
159,80.4652788,50.51827478,20.20402902,155.6739783,52.03518724,37.27120279,44.24631678
160,79.98192472,50.12397406,20.19046984,153.8122006,51.71116724,37.04954758,43.77763075
161,81.0887751,50.72843351,19.82618373,155.967122,51.9969243,37.29770699,44.13640249
162,80.7538714,50.38331995,20.47746752,155.0170406,52.32706949,37.24432002,43.86783775
163,79.95724573,51.07197762,19.93084086,155.2363013,51.61495824,36.87374669,43.42065199
164,80.31114673,50.74760902,19.80602905,156.0502563,51.86190385,36.98080729,43.40059007
165,80.84506098,50.99592012,20.03419959,156.7112754,52.06045483,36.9954506,43.48530402
166,81.01636387,51.64488078,19.74315433,157.8379751,51.92107547,36.95062135,43.42784249
167,81.59730516,52.00878897,19.46254024,159.3263126,51.94429503,36.95237796,43.47860017
168,81.26169985,51.69085122,19.83689432,158.2659307,52.1695908,36.88277213,43.26972609
169,81.8747168,52.27562925,19.99034842,160.5364702,52.17476649,37.12219146,43.44643054
170,82.55701798,52.49540534,20.01886637,160.993757,52.53571395,37.10268266,43.57656229
171,81.93360135,52.70612457,19.59350434,160.6168489,52.18690904,36.72430908,43.13671889
172,81.85889224,52.36083741,20.03663247,159.6451579,52.12757824,36.85878857,43.02862069
173,83.31863155,52.9093012,19.99081023,161.0941511,52.80336675,37.19905475,43.46118469
174,83.14688402,53.08552251,19.61951038,162.6952665,52.48652531,36.95889245,43.28789059
175,83.73533586,53.4883422,19.84133926,163.0211787,52.93071354,37.10803977,43.47268139
176,83.66274074,53.17004282,20.45948784,162.091919,53.01458674,37.0624165,43.24464804
177,83.38622997,53.09393134,19.72693667,161.7043893,52.73384433,36.84149731,42.97779472
178,84.19555756,53.90463287,19.78353668,164.5801787,53.08360964,37.09467561,43.26538599
179,84.10654288,53.99716363,20.09297673,164.8784527,53.02706927,36.95649937,43.1062287
180,83.72184378,53.51525575,19.80959742,163.841115,53.1720208,36.84088572,42.8338761
181,84.4318055,54.24612397,19.42741564,165.2362454,53.21859839,36.86012595,42.96468963
182,85.2292141,54.45707603,19.91351736,165.8399834,53.50271397,36.96805785,43.20512926
183,84.94190085,54.50790194,19.66360308,164.7628171,53.28826604,36.94271476,43.03091388
184,84.30205594,54.56511674,19.76534826,165.0963452,52.97050589,36.71013281,42.62739207
185,84.66314331,54.80494055,19.44125257,165.8153742,53.15985182,36.6122154,42.65385438
186,85.73976536,55.08739454,19.97019395,167.7326267,53.66588177,36.97571132,43.01825407
187,86.0115346,55.26042947,19.63573832,168.6408195,53.68482208,37.00814513,43.00944584
188,85.9549103,55.04301967,20.29815223,167.7292764,53.96894496,36.84555639,42.89568546
189,86.41652507,55.24302936,20.25278872,168.3751357,54.03932082,36.98767418,43.00628033
190,86.9661187,55.98056755,19.79098096,169.9320567,54.11576645,36.92057944,43.02620263
191,86.69862621,56.12241253,19.69145294,169.5727419,53.82027341,36.85684446,42.83606976
192,86.87603566,56.58766524,19.71284234,171.0228834,53.96680578,36.94722391,42.8446445
193,86.91208611,56.14589887,19.83038979,169.8553708,53.88215046,36.83087557,42.66886527
194,86.66090975,56.20945026,20.03897397,170.0868452,53.99239823,36.8012492,42.62182684
195,87.44326261,56.92358373,19.96236495,172.0178161,54.07543654,36.87567259,42.77147374
196,87.23331218,56.50226316,19.77019032,171.475549,54.15911515,36.78758637,42.52189247
197,87.59991866,57.1735206,19.29332868,172.3421557,53.99607078,36.7076473,42.59622922
198,88.41954896,56.99066333,20.44561005,173.0297781,54.51723794,37.01003486,42.86064579
199,88.47169735,57.1638681,19.74141696,172.8735326,54.47513581,36.93817898,42.71860827
200,87.82284471,57.29797969,19.55174717,172.5006342,54.11233375,36.63556875,42.4064608
201,88.52867737,57.57964737,20.00526113,173.8847206,54.4564553,36.7561765,42.54454867
202,89.20096514,57.8047919,20.32489358,174.452952,54.86499317,36.91075371,42.69597995
203,89.99521609,58.0484988,20.20142911,175.6181329,55.12365591,37.06279562,42.95384946
204,89.33141585,58.25949909,19.78862132,175.9877566,54.61818268,36.84390727,42.50278658
205,89.44941859,58.18661914,20.1721319,175.3737593,54.8899383,36.71931609,42.43494137
206,89.96798151,58.37118183,20.50219002,175.7384776,55.07467674,36.91352542,42.69102214
207,90.73204076,58.74270962,19.86036561,177.6115773,55.49600496,37.01155857,42.81541908
208,90.54210786,59.07748019,19.74551896,178.5927994,55.07128899,36.89542849,42.55216848
209,90.58590412,59.3837432,19.7728389,178.8923089,55.08771893,36.89596053,42.51369593
210,90.64886402,59.28037817,20.44379992,179.1993469,55.53272868,36.9024254,42.55630432
211,90.49121935,59.0017338,19.92540795,177.8873094,55.34741804,36.82920458,42.32964394
212,91.26187055,59.67888421,19.81627139,180.052785,55.46013391,36.89188487,42.45601518
213,92.50242679,59.70333109,20.71815387,180.9269912,55.85772103,37.22635234,42.83482606
214,91.19272618,60.2987772,19.31090093,180.7740229,55.15728206,36.80300549,42.20526754
215,91.22226371,59.77624465,20.10702677,179.8253803,55.3703539,36.85501973,42.24490727
216,91.87668755,60.25301095,19.80335806,180.8920327,55.49986575,36.84465002,42.27373927
217,92.63034578,60.76707567,20.31162441,184.4438688,56.10410328,37.07213875,42.48518862
218,91.95333133,60.42786694,20.00700611,181.4417227,55.72276727,36.90051149,42.19941313
219,93.27294694,60.41431364,20.88646626,182.0019347,56.37792629,37.15442908,42.53666563
220,92.21814627,61.08284283,19.52428159,183.178061,55.77044763,36.79615819,42.04260383
221,93.1754423,61.09983264,20.38980913,183.5582682,56.09680139,37.05307067,42.31061929
222,93.74554511,60.94488178,20.32633136,182.9798721,56.30592867,37.01595968,42.53284724
223,93.48681658,61.24165189,20.39326248,184.6714216,56.33782816,36.98982964,42.2237081
224,93.98746963,61.84617905,20.2478111,187.1487109,56.47302378,37.1072817,42.32617335
225,94.0842561,61.98263286,20.01246558,186.2306249,56.34195303,37.00305699,42.26130913
226,93.68117066,62.31911846,19.68059149,187.4940851,56.15942362,36.85128795,42.02675925
227,94.7031487,62.40265104,20.6803359,187.9659552,56.43369859,37.00875572,42.2654252
228,94.05531855,62.44658135,19.93478748,187.3282942,56.2273109,36.93124164,41.95315264
229,95.60932014,62.98574932,20.47719107,188.4466034,56.71057785,37.15955403,42.47454159
230,94.41806504,62.4354437,19.93061756,186.247367,56.58485958,36.79817048,41.94936795
231,94.81997599,63.03809151,19.87991244,188.8750042,56.45082776,36.90121728,42.00346185
232,94.42451972,62.93053105,19.74844787,187.964539,56.54389183,36.81045927,41.73078372
233,96.14425064,63.33858672,20.16542411,189.395574,57.06133245,37.13700187,42.32526439
234,95.48601409,63.32489007,19.80239437,189.9913419,56.95227547,36.91313105,41.94932459
235,95.67780257,62.95291008,20.48552453,188.576025,57.32129029,36.98302745,41.92612469
236,96.30196128,63.39312613,20.45438095,190.531035,57.30318015,37.13027588,42.05649385
237,95.94597923,64.00212971,19.71351966,191.3591221,56.98315297,36.95092067,41.82490344
238,96.61590831,63.58718896,20.47600278,190.7823184,57.37958356,37.1482643,42.04185677
239,96.20134358,64.65838173,19.79041193,192.4869209,57.09895798,36.8951582,41.78300103
240,97.14247475,64.09678261,20.84332913,192.1472248,57.5971726,37.18867522,42.00497429
241,97.23820348,64.24642674,20.261904,191.3561386,57.59258166,37.01090194,41.95019205
